date,address,x,y
10/6/2012 15:00,956 HAMILTON AVE,880401.1,1029594
10/8/2012 21:30,3456 PENNSYLVANIA AVE,896358.9,1004739
10/10/2012 9:30,4600 RIVERVIEW BLVD,888549.5,1041302
10/10/2012 23:49,5590 W FLORISSANT AVE,893144.3,1044000
10/12/2012 9:00,3531 CALIFORNIA AVE,897118.5,1004213
10/19/2012 19:30,3933 ASHLAND AVE,898686.6,1030125
10/27/2012 20:45,2645 MINNESOTA AVE,896633.8,1009503
11/3/2012 9:30,2016 E OBEAR AVE,903136,1033349
11/10/2012 0:25,5860 DELMAR BLVD,880415,1027086
11/10/2012 21:00,5977 LALITE AVE,889160.8,1044775
11/13/2012 13:05,707 N KINGSHIGHWAY BLVD,887661.3,1026321
11/15/2012 0:01,2410 N GRAND BLVD,899239.9,1026182
11/21/2012 19:42,4250 E MARGARETTA AVE,897182.7,1032940
12/3/2012 19:15,3710 DARBY ST,884639.9,1039764
12/5/2012 0:43,956 BATES ST,890956,995499.6
12/8/2012 0:24,3831 MERAMEC ST,891984.5,1001427
12/8/2012 17:05,5345 THEKLA AVE,892785.1,1041285
12/10/2012 21:01,5445 PAGE BLVD,884432.9,1030216
12/13/2012 17:55,4346 C D BANKS AVE,892367.1,1026164
12/19/2012 22:45,4855 NORTHLAND AVE,890632.8,1032151
12/23/2012 19:23,3132 CHIPPEWA ST,895235.4,1002753
12/27/2012 5:51,6644 OAKLAND AVE,877661.3,1018924
